id,width,height,pixels,foreground pixels,background pixels,unknown pixels,computation time,mean squared error,sum of absolute differences
1,800,497,397600,220078,149841,27681,2714,29.0,358726
2,800,524,419200,203146,182424,33630,4364,157.0,847376
3,640,800,512000,290271,125467,96262,9757,114.0,1393581
4,800,563,450400,140866,149598,159936,21994,399.0,3603663
5,800,552,441600,149686,275349,16565,2207,47.0,320367
6,800,678,542400,205722,300180,36498,3806,99.0,856235
7,800,618,494400,252153,204961,37286,3759,47.0,615770
8,647,800,517600,273792,117156,126652,28018,558.0,4125631
9,643,800,514400,325991,119764,68645,7450,95.0,1203373
10,800,571,456800,258197,164817,33786,3902,161.0,927901
11,800,621,496800,259608,192909,44283,5132,255.0,1464203
12,800,527,421600,239474,159977,22149,2271,38.0,370086
13,800,595,476000,238542,135258,102200,27802,417.0,2544559
14,800,529,423200,97580,300933,24687,2156,59.0,483279
15,800,490,392000,141875,218959,31166,3509,190.0,916940
16,800,536,428800,151663,202567,74570,13978,819.0,3237267
17,800,565,452000,178567,237347,36086,6837,62.0,651252
18,800,646,516800,113174,368535,35091,5434,107.0,801664
19,800,580,464000,224601,221849,17550,2349,112.0,547167
20,800,575,460000,203088,223046,33866,4333,43.0,450787
21,800,663,530400,257848,185249,87303,18711,517.0,2693581
22,800,719,575200,338625,191570,45005,6593,42.0,669331
23,800,715,572000,336970,190480,44550,5839,63.0,711922
24,800,543,434400,139644,256825,37931,4865,245.0,1349080
25,800,532,425600,39979,332609,53012,6785,1679.0,4796258
26,800,604,483200,56542,297772,128886,26865,1143.0,5648254
27,800,608,486400,199745,193284,93371,16699,1184.0,4915317
,,,,,,,9189.962962962964,321.51851851851853,1722354.4444444445
