id,width,height,pixels,foreground pixels,background pixels,unknown pixels,computation time,mean squared error,sum of absolute differences
1,100,62,6200,3081,2063,1056,45,122.0,18357
2,100,65,6500,2228,2549,1723,76,724.0,58110
3,80,100,8000,4272,1357,2371,88,235.0,33024
4,100,70,7000,1762,1830,3408,141,787.0,92962
5,100,69,6900,2083,4032,785,33,273.0,18889
6,100,84,8400,2831,4201,1368,58,400.0,40105
7,100,77,7700,3544,2879,1277,54,133.0,23140
8,80,100,8000,3930,1345,2725,103,1045.0,103768
9,80,100,8000,4746,1330,1924,80,229.0,33669
10,100,71,7100,3669,2218,1213,51,562.0,41331
11,100,77,7700,3753,2498,1449,60,752.0,55057
12,100,65,6500,3474,2212,814,30,105.0,12009
13,100,74,7400,2622,1620,3158,132,803.0,73621
14,100,66,6600,1319,4411,870,32,309.0,22226
15,100,61,6100,1970,3170,960,35,713.0,41138
16,100,67,6700,2152,2832,1716,64,4507.0,151338
17,100,70,7000,2504,3370,1126,46,271.0,23588
18,100,80,8000,1388,5170,1442,61,446.0,41444
19,100,72,7200,3297,3171,732,30,370.0,25513
20,100,71,7100,2883,3079,1138,47,224.0,20848
21,100,82,8200,2810,2364,3026,132,1881.0,125053
22,100,89,8900,4882,2477,1541,65,203.0,30415
23,100,89,8900,4913,2555,1432,60,229.0,29503
24,100,67,6700,1926,3709,1065,45,772.0,50735
25,100,66,6600,393,4961,1246,47,2475.0,108027
26,100,75,7500,381,3830,3289,124,2657.0,167373
27,100,76,7600,2557,2826,2217,94,3127.0,163323
,,,,,,,67.88888888888889,902.0,59428.37037037037
