id,width,height,pixels,foreground pixels,background pixels,unknown pixels,computation time,mean squared error,sum of absolute differences
1,200,124,24800,13432,8964,2404,47,430.0,91246
2,200,131,26200,11675,10925,3600,23,350.0,104091
3,160,200,32000,17917,6522,7561,26,454.0,187679
4,200,140,28000,8288,8572,11140,23,1115.0,413689
5,200,138,27600,9068,16698,1834,23,610.0,113748
6,200,169,33800,12421,17897,3482,24,397.0,144557
7,200,154,30800,15177,12314,3309,23,258.0,99191
8,161,200,32200,16783,6572,8845,25,1018.0,390253
9,160,200,32000,20051,6353,5596,26,321.0,149902
10,200,142,28400,15578,9617,3205,24,570.0,145142
11,200,155,31000,15995,11141,3864,26,707.0,194971
12,200,131,26200,14673,9434,2093,27,243.0,64058
13,200,148,29600,13226,7414,8960,25,981.0,300950
14,200,132,26400,5825,18262,2313,25,468.0,112015
15,200,122,24400,8427,13253,2720,24,733.0,152971
16,200,134,26800,9213,12086,5501,26,2171.0,410169
17,200,141,28200,10821,14192,3187,23,429.0,122209
18,200,161,32200,6691,21975,3534,29,457.0,133957
19,200,145,29000,13945,13462,1593,29,481.0,107850
20,200,143,28600,12365,13181,3054,21,318.0,97539
21,200,165,33000,14804,10647,7549,25,1481.0,365119
22,200,179,35800,20674,11023,4103,24,523.0,174126
23,200,178,35600,20493,11124,3983,23,229.0,112178
24,200,135,27000,8379,15560,3061,31,1260.0,236233
25,200,133,26600,2461,20434,3705,24,1838.0,333372
26,200,151,30200,3247,17358,9595,25,2380.0,556467
27,200,152,30400,12194,11799,6407,22,2590.0,537760
,,,,,,,25.666666666666668,844.8888888888889,216720.07407407407
